level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
district,Arunachal Pradesh,Longding,,arunachal pradesh|longding,,historical,1990-2010,53.504616,#ebe45a
district,West Bengal,Medinipur East,,west bengal|medinipur east,,historical,1990-2010,69.424198,#f5762e
district,Assam,Nalbari,,assam|nalbari,,historical,1990-2010,87.196307,#ca1e26
district,Meghalaya,South West Khasi Hills,,meghalaya|south west khasi hills,,historical,1990-2010,97.986516,#9b161b
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,ssp245,2020-2040,0.088071,#e2f4fd
district,Himachal Pradesh,Kinnaur,,himachal pradesh|kinnaur,,ssp245,2020-2040,12.742954,#8ecdef
district,Arunachal Pradesh,Shi Yomi,,arunachal pradesh|shi yomi,,ssp245,2020-2040,22.889334,#579bd2
district,Punjab,Amritsar,,punjab|amritsar,,ssp245,2020-2040,31.234815,#489d97
district,Uttar Pradesh,Jaunpur,,uttar pradesh|jaunpur,,ssp245,2020-2040,36.427964,#49a96c
district,Madhya Pradesh,Singrauli,,madhya pradesh|singrauli,,ssp245,2020-2040,41.454082,#54b847
district,Uttar Pradesh,Amroha,,uttar pradesh|amroha,,ssp245,2020-2040,47.403426,#9acc50
district,Uttarakhand,Pauri Garhwal,,uttarakhand|pauri garhwal,,ssp245,2020-2040,54.142371,#ebe45a
district,Jharkhand,Sahebganj,,jharkhand|sahebganj,,ssp245,2020-2040,62.178086,#f8af45
district,Uttar Pradesh,Balrampur,,uttar pradesh|balrampur,,ssp245,2020-2040,75.191327,#eb5329
district,"Dadra, Nagar Haveli, Daman & Diu",Daman,,dadra nagar haveli daman diu|daman,,ssp245,2020-2040,89.902211,#be1c23
district,Meghalaya,South West Khasi Hills,,meghalaya|south west khasi hills,,ssp245,2020-2040,98.26895,#9b161b
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,ssp245,2040-2060,0.11844,#e2f4fd
district,Himachal Pradesh,Kullu,,himachal pradesh|kullu,,ssp245,2040-2060,15.867954,#7ebee6
district,Telangana,Suryapet,,telangana|suryapet,,ssp245,2040-2060,26.655126,#4892ba
district,Jammu & Kashmir,Jammu,,jammu kashmir|jammu,,ssp245,2040-2060,33.615768,#49a47e
