level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
district,Odisha,Cuttack,,odisha|cuttack,,ssp585,2040-2060,16.275308,#7ebee6
district,Odisha,Boudh,,odisha|boudh,,ssp585,2040-2060,26.379373,#4890c1
district,Chhattisgarh,Janjgir-Champa,,chhattisgarh|janjgir champa,,ssp585,2040-2060,33.840096,#49a47e
district,Assam,Nagaon,,assam|nagaon,,ssp585,2040-2060,43.927559,#79c34c
district,Madhya Pradesh,Bhopal,,madhya pradesh|bhopal,,ssp585,2040-2060,49.771825,#bcd654
district,Uttar Pradesh,Banda,,uttar pradesh|banda,,ssp585,2040-2060,57.722506,#f9d152
district,Madhya Pradesh,Niwari,,madhya pradesh|niwari,,ssp585,2040-2060,67.216756,#f68634
district,Haryana,Panipat,,haryana|panipat,,ssp585,2040-2060,75.111961,#eb5329
district,Uttarakhand,Champawat,,uttarakhand|champawat,,ssp585,2040-2060,90.120465,#be1c23
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,ssp585,2040-2060,99.82973,#921519
district,Lakshadweep,Lakshadweep,,lakshadweep|lakshadweep,,ssp585,2060-2080,1.537496,#d5effc
district,Kerala,Malappuram,,kerala|malappuram,,ssp585,2060-2080,6.919947,#b5e3f9
district,Telangana,Jangoan,,telangana|jangoan,,ssp585,2060-2080,11.322279,#99d7f5
district,Telangana,Adilabad,,telangana|adilabad,,ssp585,2060-2080,19.705418,#67aada
district,Tripura,West Tripura,,tripura|west tripura,,ssp585,2060-2080,25.334265,#4b90cb
district,Bihar,Munger,,bihar|munger,,ssp585,2060-2080,32.732224,#49a285
district,Uttar Pradesh,Ballia,,uttar pradesh|ballia,,ssp585,2060-2080,38.023364,#49af5a
district,Madhya Pradesh,Singrauli,,madhya pradesh|singrauli,,ssp585,2060-2080,43.217323,#6abf4a
district,Assam,Tinsukia,,assam|tinsukia,,ssp585,2060-2080,51.887958,#d4dd57
district,Rajasthan,Bikaner,,rajasthan|bikaner,,ssp585,2060-2080,60.323737,#f8c04b
district,Arunachal Pradesh,Tirap,,arunachal pradesh|tirap,,ssp585,2060-2080,85.737974,#cf1e27
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,ssp585,2060-2080,99.737407,#921519
