local_day,latitude,longitude,irt_shade_day_mean,irt_shade_day_peak,irt_swbgt_day_mean,irt_swbgt_day_peak,bernard_day_mean,bernard_day_peak,liljegren_day_mean,liljegren_day_peak,t_c_day_mean,t_c_day_peak,rh_day_mean,irt_shade_deployed,irt_swbgt_deployed
2024-05-21,16.75,77.25,27.422342962113916,29.978607227825478,33.0376567121123,35.84882724884142,27.465767279757813,29.920696191928894,29.054725997582143,34.310769078987335,31.433084,36.637848,63.71092549737602,27.56336211133383,33.26749410760148
2024-05-21,16.75,77.5,27.337657573476438,29.65933830811059,32.96066760942852,35.55045500428113,27.38224609003002,29.631006227566925,29.02217926012573,34.37233628522239,31.162497,35.880035,65.22789121987215,27.48388694590649,33.20808623386683
2024-05-21,16.75,77.75,27.281736954920575,29.79953529849083,32.877639505133835,35.72915634879088,27.32458426037067,29.76814054482697,28.951386839736113,34.44280876115096,31.132547,35.773224,65.09999565864017,27.441054521060586,33.14863550352395
2024-05-21,16.75,78.0,27.155074538156928,29.63513045113254,32.68452021953494,35.40980110037017,27.19625120713017,29.593636361979733,28.75892398020574,34.39420501219928,31.121317,35.91861,64.27538399854589,27.33590911678324,32.98858754381036
2024-05-21,16.75,78.25,27.09595604918296,29.167530036296746,32.53094807651445,34.58350586243929,27.132342778237955,29.108676307236166,28.5660396828971,34.440662956364804,31.41038,36.352203,61.7533279225158,27.31378631230562,32.886736049647325
2024-05-21,16.75,78.5,27.302632445070216,29.148821506253427,32.697199908266974,34.44876178874454,27.331698860657955,29.08053766327501,28.615622651854995,32.90320105892175,32.112854,37.121002,58.25627095243413,27.548774404021444,33.081224296358265
2024-05-21,16.75,78.75,27.91840215700195,29.630626948537163,33.46337139824178,34.97140984438184,27.936923666023475,29.548590028397754,29.2178685692476,33.17319432888803,32.870502,37.997955,57.631798173697625,28.171926999497682,33.86576226238624
2024-05-21,16.75,79.0,28.59625831803369,30.37681541663794,34.317503372011565,35.917703379376746,28.601360081671515,30.281557288721416,29.942296338526393,33.69413877252066,33.70286,38.605377,56.90515901169622,28.848150492879334,34.72789635257138
2024-05-21,16.75,79.25,29.051884848420187,30.825596455508038,35.03487013896706,36.742417510662946,29.0591517854718,30.739604232318655,30.465427787388297,33.90599372636018,33.72296,38.15811,60.01339934607443,29.257118434586012,35.39102745179925
2024-05-21,16.75,79.5,29.197071280041772,30.86700350891558,35.36816888677985,37.03344448871168,29.214328240258396,30.804407690025148,30.698286452645988,34.351782783305964,33.361958,37.441193,63.588102622637884,29.35778513467755,35.65947413259059
2024-05-21,16.75,79.75,29.277863967310065,30.93482768857151,35.55373455316778,37.16237899527631,29.299520351687452,30.875357345118886,30.805474424190038,34.687278484970136,33.16502,37.310333,65.69726422269234,29.425077305986644,35.82719601442318
2024-05-21,16.75,80.0,29.35421092248286,31.042753055381148,35.68825147508036,37.3109849899484,29.374911940898,30.981881963760593,30.61719125427898,34.77825754575292,33.113995,37.42752,66.8073568992772,29.508283844660763,35.981275277018234
2024-05-21,16.75,80.25,29.35858157780217,31.119792436583182,35.728837210083604,37.46370384135472,29.380081218806538,31.063128817721413,30.586416794866512,34.84725773093271,32.976135,37.35721,67.9394461603056,29.510759669931215,36.02384605714688
2024-05-21,16.75,80.5,29.22330043232914,31.141744603459543,35.59721230906795,37.614386120258516,29.25161307512225,31.098553516840713,30.462797167515816,34.92817237120522,32.638165,36.99002,69.32941536758926,29.351442360358604,35.84878002119037
2024-05-21,16.75,80.75,29.104438175504168,31.067740690440612,35.50859744410845,37.69035468225719,29.140000009085025,31.04620108583748,30.37202119514294,34.85519618937337,32.242085,36.33963,71.38116082864805,29.208819698597864,35.715921404111334
