level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
district,Punjab,Gurdaspur,,punjab|gurdaspur,,historical,1990-2010,40.014143,#4ab546
district,Uttar Pradesh,Rampur,,uttar pradesh|rampur,,historical,1990-2010,44.985162,#82c64d
district,Puducherry,Yanam,,puducherry|yanam,,historical,1990-2010,51.350566,#cada56
district,Uttar Pradesh,Pratapgarh,,uttar pradesh|pratapgarh,,historical,1990-2010,60.026638,#f8c04b
district,West Bengal,Hooghly,,west bengal|hooghly,,historical,1990-2010,75.234711,#eb5329
district,Himachal Pradesh,Lahul and Spiti,,himachal pradesh|lahul and spiti,,ssp245,2020-2040,0.336231,#e2f4fd
district,Meghalaya,West Jaintia Hills,,meghalaya|west jaintia hills,,ssp245,2020-2040,10.538578,#99d7f5
district,Mizoram,Lawngtlai,,mizoram|lawngtlai,,ssp245,2020-2040,23.914081,#5095cf
district,Maharashtra,Washim,,maharashtra|washim,,ssp245,2020-2040,30.031324,#489aa2
district,Assam,Cachar,,assam|cachar,,ssp245,2020-2040,34.696047,#49a773
district,Telangana,Jogulamba Gadwal,,telangana|jogulamba gadwal,,ssp245,2020-2040,40.265775,#4ab546
district,Rajasthan,Sawai Madhopur,,rajasthan|sawai madhopur,,ssp245,2020-2040,44.724854,#82c64d
district,Rajasthan,Hanumangarh,,rajasthan|hanumangarh,,ssp245,2020-2040,49.343589,#b2d353
district,Andhra Pradesh,Y.S.R,,andhra pradesh|ysr,,ssp245,2020-2040,54.516781,#f4e75b
district,West Bengal,Alipurduar,,west bengal|alipurduar,,ssp245,2020-2040,59.824466,#f8c04b
district,Assam,Sivasagar,,assam|sivasagar,,ssp245,2020-2040,66.914393,#f68634
district,West Bengal,Hooghly,,west bengal|hooghly,,ssp245,2020-2040,81.24436,#dd3428
district,Himachal Pradesh,Lahul and Spiti,,himachal pradesh|lahul and spiti,,ssp245,2040-2060,0.379616,#e2f4fd
district,Manipur,Tamenglong,,manipur|tamenglong,,ssp245,2040-2060,13.849698,#89c9ec
district,Chhattisgarh,Bastar,,chhattisgarh|bastar,,ssp245,2040-2060,30.635239,#489d97
district,Telangana,Mahabubnagar,,telangana|mahabubnagar,,ssp245,2040-2060,37.971592,#49af5a
district,Andaman & Nicobar Islands,Nicobars,,andaman nicobar islands|nicobars,,ssp245,2040-2060,43.779935,#79c34c
district,Andhra Pradesh,Srikakulam,,andhra pradesh|srikakulam,,ssp245,2040-2060,50.521918,#cada56
district,Jharkhand,Ramgarh,,jharkhand|ramgarh,,ssp245,2040-2060,55.716802,#fae259
district,Haryana,Palwal,,haryana|palwal,,ssp245,2040-2060,59.95462,#f8c04b
district,Tripura,South Tripura,,tripura|south tripura,,ssp245,2040-2060,65.502655,#f69039
district,Tamil Nadu,Sivaganga,,tamil nadu|sivaganga,,ssp245,2040-2060,70.960451,#f26529
district,Bihar,Rohtas,,bihar|rohtas,,ssp245,2040-2060,76.735822,#e64929
district,West Bengal,Howrah,,west bengal|howrah,,ssp245,2040-2060,90.134753,#be1c23
district,Himachal Pradesh,Lahul and Spiti,,himachal pradesh|lahul and spiti,,ssp245,2060-2080,0.701097,#ddf2fc
district,Manipur,Tamenglong,,manipur|tamenglong,,ssp245,2060-2080,17.346505,#77b8e3
district,Karnataka,Haveri,,karnataka|haveri,,ssp245,2060-2080,36.18848,#49a96c
district,Rajasthan,Jaipur Gramin,,rajasthan|jaipur gramin,,ssp245,2060-2080,44.634614,#82c64d
district,Maharashtra,Buldhana,,maharashtra|buldhana,,ssp245,2060-2080,51.564018,#d4dd57
district,Maharashtra,Ratnagiri,,maharashtra|ratnagiri,,ssp245,2060-2080,58.512512,#f9ca50
district,Uttar Pradesh,Shamli,,uttar pradesh|shamli,,ssp245,2060-2080,63.959027,#f7a13f
district,Telangana,Mulugu,,telangana|mulugu,,ssp245,2060-2080,67.793367,#f68032
district,Uttar Pradesh,Auraiya,,uttar pradesh|auraiya,,ssp245,2060-2080,73.286738,#ef5d29
district,Assam,Chirang,,assam|chirang,,ssp245,2060-2080,78.308951,#e44228
district,Jharkhand,Jamtara,,jharkhand|jamtara,,ssp245,2060-2080,83.244395,#d92a28
district,West Bengal,Howrah,,west bengal|howrah,,ssp245,2060-2080,94.441118,#ac191f
district,Himachal Pradesh,Lahul and Spiti,,himachal pradesh|lahul and spiti,,ssp585,2020-2040,0.344908,#e2f4fd
district,Mizoram,Hnahthial,,mizoram|hnahthial,,ssp585,2020-2040,10.883052,#99d7f5
district,Karnataka,Chikkaballapura,,karnataka|chikkaballapura,,ssp585,2020-2040,24.882427,#4b90cb
district,"Dadra, Nagar Haveli, Daman & Diu",Diu,,dadra nagar haveli daman diu|diu,,ssp585,2020-2040,31.168871,#489d97
district,Madhya Pradesh,Barwani,,madhya pradesh|barwani,,ssp585,2020-2040,35.789341,#49a96c
district,Jharkhand,Simdega,,jharkhand|simdega,,ssp585,2020-2040,41.671439,#62bc49
district,Gujarat,Panch Mahals,,gujarat|panch mahals,,ssp585,2020-2040,46.572175,#9acc50
district,Uttar Pradesh,Amroha,,uttar pradesh|amroha,,ssp585,2020-2040,51.231692,#cada56
