level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
district,Andaman & Nicobar Islands,Nicobars,,andaman nicobar islands|nicobars,,ssp245,2020-2040,0.045554,#e2f4fd
district,Nagaland,Kohima,,nagaland|kohima,,ssp245,2020-2040,9.538994,#a3dcf7
district,Meghalaya,South West Khasi Hills,,meghalaya|south west khasi hills,,ssp245,2020-2040,19.342201,#6eb0de
district,Punjab,Pathankot,,punjab|pathankot,,ssp245,2020-2040,27.869898,#4894b3
district,Jharkhand,Dhanbad,,jharkhand|dhanbad,,ssp245,2020-2040,36.962464,#49ac65
district,Uttar Pradesh,Bijnor,,uttar pradesh|bijnor,,ssp245,2020-2040,46.219023,#8cc84e
district,Maharashtra,Gadchiroli,,maharashtra|gadchiroli,,ssp245,2020-2040,55.967566,#fae259
district,Karnataka,Tumakuru,,karnataka|tumakuru,,ssp245,2020-2040,64.440598,#f7a13f
district,Telangana,Nirmal,,telangana|nirmal,,ssp245,2020-2040,73.132289,#ef5d29
district,Uttar Pradesh,Mahoba,,uttar pradesh|mahoba,,ssp245,2020-2040,81.951531,#db3028
district,Madhya Pradesh,Shajapur,,madhya pradesh|shajapur,,ssp245,2020-2040,91.153426,#ba1b22
district,Rajasthan,Jaisalmer,,rajasthan|jaisalmer,,ssp245,2020-2040,99.899781,#921519
district,Andaman & Nicobar Islands,Nicobars,,andaman nicobar islands|nicobars,,ssp245,2040-2060,0.081997,#e2f4fd
district,Manipur,Kamjong,,manipur|kamjong,,ssp245,2040-2060,9.575437,#a3dcf7
district,Assam,Sonitpur,,assam|sonitpur,,ssp245,2040-2060,18.048469,#72b4e0
district,Punjab,Pathankot,,punjab|pathankot,,ssp245,2040-2060,26.721939,#4892ba
district,Jharkhand,Khunti,,jharkhand|khunti,,ssp245,2040-2060,36.124271,#49a96c
district,Chhattisgarh,Narayanpur,,chhattisgarh|narayanpur,,ssp245,2040-2060,45.617711,#8cc84e
district,Haryana,Karnal,,haryana|karnal,,ssp245,2040-2060,54.145408,#ebe45a
district,Delhi,Shahdara,,delhi|shahdara,,ssp245,2040-2060,63.329082,#f7a842
district,Karnataka,Koppal,,karnataka|koppal,,ssp245,2040-2060,72.512755,#ef5d29
district,Uttar Pradesh,Hamirpur,,uttar pradesh|hamirpur,,ssp245,2040-2060,81.751093,#db3028
district,Gujarat,Amreli,,gujarat|amreli,,ssp245,2040-2060,90.916545,#ba1b22
district,Rajasthan,Barmer,,rajasthan|barmer,,ssp245,2040-2060,99.918003,#921519
district,Andaman & Nicobar Islands,Nicobars,,andaman nicobar islands|nicobars,,ssp245,2060-2080,0.063776,#e2f4fd
district,Tamil Nadu,Theni,,tamil nadu|theni,,ssp245,2060-2080,9.812318,#a3dcf7
district,Kerala,Kozhikode,,kerala|kozhikode,,ssp245,2060-2080,18.485787,#72b4e0
district,Odisha,Ganjam,,odisha|ganjam,,ssp245,2060-2080,27.815233,#4894b3
district,Jharkhand,Pakur,,jharkhand|pakur,,ssp245,2060-2080,36.251822,#49a96c
district,Karnataka,Mysuru,,karnataka|mysuru,,ssp245,2060-2080,45.380831,#82c64d
district,Uttar Pradesh,Budaun,,uttar pradesh|budaun,,ssp245,2060-2080,54.655612,#f4e75b
district,Andhra Pradesh,Spsr Nellore,,andhra pradesh|spsr nellore,,ssp245,2060-2080,63.365525,#f7a842
district,Karnataka,Vijayanagar,,karnataka|vijayanagar,,ssp245,2060-2080,72.8043,#ef5d29
district,Haryana,Mahendragarh,,haryana|mahendragarh,,ssp245,2060-2080,81.623542,#db3028
district,Madhya Pradesh,Indore,,madhya pradesh|indore,,ssp245,2060-2080,90.479227,#be1c23
district,Rajasthan,Barmer,,rajasthan|barmer,,ssp245,2060-2080,99.845117,#921519
district,Andaman & Nicobar Islands,Nicobars,,andaman nicobar islands|nicobars,,ssp585,2020-2040,0.027332,#e2f4fd
district,Nagaland,Kohima,,nagaland|kohima,,ssp585,2020-2040,9.866983,#a3dcf7
district,Himachal Pradesh,Kullu,,himachal pradesh|kullu,,ssp585,2020-2040,19.287536,#6eb0de
district,Odisha,Dhenkanal,,odisha|dhenkanal,,ssp585,2020-2040,28.125,#4894b3
district,Uttarakhand,Nainital,,uttarakhand|nainital,,ssp585,2020-2040,37.563776,#49af5a
district,Bihar,Muzaffarpur,,bihar|muzaffarpur,,ssp585,2020-2040,46.765671,#9acc50
district,Tamil Nadu,Dharmapuri,,tamil nadu|dharmapuri,,ssp585,2020-2040,57.370627,#f9db56
district,Maharashtra,Bhandara,,maharashtra|bhandara,,ssp585,2020-2040,66.20809,#f69039
district,Telangana,Medchal Malkajgiri,,telangana|medchal malkajgiri,,ssp585,2020-2040,73.988703,#ed5729
district,Haryana,Mahendragarh,,haryana|mahendragarh,,ssp585,2020-2040,82.151968,#db3028
district,Rajasthan,Karauli,,rajasthan|karauli,,ssp585,2020-2040,90.989431,#ba1b22
district,Rajasthan,Barmer,,rajasthan|barmer,,ssp585,2020-2040,99.954446,#921519
district,Andaman & Nicobar Islands,Nicobars,,andaman nicobar islands|nicobars,,ssp585,2040-2060,0.100219,#e2f4fd
district,Manipur,Imphal East,,manipur|imphal east,,ssp585,2040-2060,9.775875,#a3dcf7
district,Odisha,Bhadrak,,odisha|bhadrak,,ssp585,2040-2060,19.834184,#67aada
district,Odisha,Mayurbhanj,,odisha|mayurbhanj,,ssp585,2040-2060,27.979227,#4894b3
district,Jharkhand,Khunti,,jharkhand|khunti,,ssp585,2040-2060,37.290452,#49ac65
district,Bihar,Muzaffarpur,,bihar|muzaffarpur,,ssp585,2040-2060,46.127915,#8cc84e
district,Bihar,Arwal,,bihar|arwal,,ssp585,2040-2060,55.001822,#f4e75b
district,Maharashtra,Nagpur,,maharashtra|nagpur,,ssp585,2040-2060,63.347303,#f7a842
district,Uttar Pradesh,Unnao,,uttar pradesh|unnao,,ssp585,2040-2060,72.439869,#f06129
district,Maharashtra,Ratnagiri,,maharashtra|ratnagiri,,ssp585,2040-2060,81.605321,#db3028
district,Gujarat,Navsari,,gujarat|navsari,,ssp585,2040-2060,90.697886,#ba1b22
district,Rajasthan,Jaisalmer,,rajasthan|jaisalmer,,ssp585,2040-2060,99.808673,#921519
district,Andaman & Nicobar Islands,Nicobars,,andaman nicobar islands|nicobars,,ssp585,2060-2080,0.11844,#e2f4fd
district,Assam,Golaghat,,assam|golaghat,,ssp585,2060-2080,8.4457,#aee0f8
district,Tamil Nadu,Thanjavur,,tamil nadu|thanjavur,,ssp585,2060-2080,17.24672,#77b8e3
district,Odisha,Mayurbhanj,,odisha|mayurbhanj,,ssp585,2060-2080,26.594388,#4892ba
district,Odisha,Sundargarh,,odisha|sundargarh,,ssp585,2060-2080,34.830539,#49a773
district,Uttar Pradesh,Kushi Nagar,,uttar pradesh|kushi nagar,,ssp585,2060-2080,43.030248,#6abf4a
district,Tamil Nadu,Salem,,tamil nadu|salem,,ssp585,2060-2080,51.667274,#d4dd57
district,Uttar Pradesh,Aligarh,,uttar pradesh|aligarh,,ssp585,2060-2080,61.452259,#f8b949
district,Telangana,Rajanna Sircilla,,telangana|rajanna sircilla,,ssp585,2060-2080,70.089286,#f56d2a
district,Haryana,Mahendragarh,,haryana|mahendragarh,,ssp585,2060-2080,80.803571,#dd3428
district,Gujarat,Amreli,,gujarat|amreli,,ssp585,2060-2080,90.315233,#be1c23
district,Rajasthan,Jaisalmer,,rajasthan|jaisalmer,,ssp585,2060-2080,99.863338,#921519
