ruler_a,ruler_b,state,district,district_key,scenario,period,disagreement_rank,composite_a,composite_b,composite_delta,composite_rank_a,composite_rank_b,metric_slug,raw_value,metric_score_a,metric_score_b,metric_score_delta,weight,frame
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,tnx_annual_max,30.297265304057873,74.76964138951861,43.44934402332362,-31.320297366194993,0.06666666666666667,absolute_threshold
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,tx90p_hot_days_pct,20.06609213507248,16.812951150653568,16.66362973760933,-0.14932141304423752,0.06666666666666667,baseline_referenced
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,txge30_hot_days,231.15188020496652,65.50158786419009,30.967565597667637,-34.53402226652245,0.06666666666666667,absolute_threshold
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,txge35_extreme_heat_days,95.24215524275718,46.93466966760904,40.552113702623906,-6.382555964985137,0.06666666666666667,absolute_threshold
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,wsdi_warm_spell_days,43.34880798586077,16.354397519832386,17.520043731778426,1.16564621194604,0.06666666666666667,baseline_referenced
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,hwa_heatwave_amplitude,34.52725194743315,63.76712227234644,20.56304664723032,-43.20407562511612,0.08333333333333333,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,tn90p_warm_nights_pct,10.194120465804247,0.0,0.08199708454810496,0.08199708454810496,0.08333333333333333,baseline_referenced
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,txx_annual_max,43.30009047542718,77.02544337581763,47.458090379008745,-29.567352996808886,0.08333333333333333,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,hwfi_events_tmean_90p,1.945481414196603,2.958448503186586,5.493804664723032,2.535356161536446,0.075,baseline_referenced
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,hwfi_tmean_90p,14.879131625751924,0.8098089219903136,8.44569970845481,7.635890786464497,0.075,baseline_referenced
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,tas_annual_mean,23.695538490871815,69.3879551128184,15.57033527696793,-53.81761983585047,0.06666666666666667,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,tas_summer_mean,25.475119928485924,65.90803990607233,18.08491253644315,-47.823127369629184,0.06666666666666667,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,tasmax_summer_mean,32.30511669911998,66.61584124689598,22.713192419825074,-43.902648827070905,0.06666666666666667,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,tasmin_tropical_nights_gt25,92.35852233506601,36.50898026945424,33.88301749271137,-2.625962776742874,0.06666666666666667,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,tnx_annual_max,30.044446550927635,73.61160771880085,40.606778425655975,-33.00482929314488,0.06666666666666667,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,tx90p_hot_days_pct,10.242137509219665,0.0,0.027332361516034985,0.027332361516034985,0.06666666666666667,baseline_referenced
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,txge30_hot_days,205.36389949071116,58.13873513671654,22.80430029154519,-35.33443484517135,0.06666666666666667,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,txge35_extreme_heat_days,96.66044954255516,47.63362214615536,41.55430029154519,-6.079321854610171,0.06666666666666667,absolute_threshold
linear,cdf,Punjab,Amritsar,punjab|amritsar,historical,1990-2010,3,39.936822422302164,20.092322643343056,-19.844499778959108,493.0,535.0,wsdi_warm_spell_days,11.430257761908662,1.0175581340896565,5.329810495626822,4.3122523615371655,0.06666666666666667,baseline_referenced
linear,cdf,Mizoram,Lawngtlai,mizoram|lawngtlai,ssp585,2060-2080,4,73.61762378244069,53.83548955296405,-19.78213422947664,643.0,650.0,hwa_heatwave_amplitude,36.02366646884675,70.06176125166834,28.689868804664723,-41.37189244700362,0.08333333333333333,absolute_threshold
