state,scenario,period,ruler,unweighted_mean,area_weighted_mean,delta_area_minus_unweighted,n_districts_scored,n_districts_with_area
Maharashtra,historical,1990-2010,linear,45.132501843293376,45.22788118204653,0.09537933875315474,36,36
Maharashtra,ssp245,2020-2040,linear,55.53176048231333,55.35412916543778,-0.1776313168755479,36,36
Maharashtra,ssp245,2040-2060,linear,65.22653177385774,64.82357529764838,-0.4029564762093685,36,36
Maharashtra,ssp245,2060-2080,linear,73.24564280580601,72.80336229266479,-0.4422805131412275,36,36
Maharashtra,ssp585,2020-2040,linear,56.186185813381925,55.97290950322496,-0.2132763101569637,36,36
Maharashtra,ssp585,2040-2060,linear,71.83111945147903,71.39813717910904,-0.43298227236998343,36,36
Maharashtra,ssp585,2060-2080,linear,86.6281560055685,86.27746636889005,-0.3506896366784531,36,36
Manipur,historical,1990-2010,linear,18.31974628726147,17.496962652469175,-0.8227836347922945,16,16
Manipur,ssp245,2020-2040,linear,29.910710582918497,28.983313299599097,-0.9273972833194009,16,16
Manipur,ssp245,2040-2060,linear,40.123244032883875,39.07336024604574,-1.0498837868381372,16,16
Manipur,ssp245,2060-2080,linear,48.65408598144873,47.5209315219009,-1.133154459547832,16,16
Manipur,ssp585,2020-2040,linear,30.812646603586057,29.89562432113617,-0.917022282449885,16,16
Manipur,ssp585,2040-2060,linear,46.76272426982018,45.73046522248062,-1.032259047339565,16,16
Manipur,ssp585,2060-2080,linear,60.40463585041545,59.261858724937845,-1.1427771254776076,16,16
Meghalaya,historical,1990-2010,linear,21.882868403106425,21.347823322159833,-0.5350450809465919,12,12
Meghalaya,ssp245,2020-2040,linear,32.77448741350693,32.25398669090899,-0.5205007225979443,12,12
Meghalaya,ssp245,2040-2060,linear,43.89861087025806,43.28821191056277,-0.6103989596952886,12,12
Meghalaya,ssp245,2060-2080,linear,52.94504754964752,52.307407448991114,-0.6376401006564052,12,12
Meghalaya,ssp585,2020-2040,linear,34.25390470904,33.71459457018854,-0.5393101388514623,12,12
Meghalaya,ssp585,2040-2060,linear,50.793418062208566,50.179178969208174,-0.6142390930003927,12,12
Meghalaya,ssp585,2060-2080,linear,65.36229248620086,64.69890884297078,-0.6633836432300768,12,12
Mizoram,historical,1990-2010,linear,21.564294781653658,22.90200678724396,1.3377120055903013,11,11
Mizoram,ssp245,2020-2040,linear,32.90878581153645,34.30202729659082,1.393241485054375,11,11
Mizoram,ssp245,2040-2060,linear,43.732499308566254,45.23444506939161,1.5019457608253575,11,11
Mizoram,ssp245,2060-2080,linear,53.103177552263176,54.73895202777184,1.6357744755086614,11,11
Mizoram,ssp585,2020-2040,linear,34.11639514306142,35.510354828846204,1.393959685784786,11,11
Mizoram,ssp585,2040-2060,linear,51.44993819858187,53.05390350008498,1.6039653015031092,11,11
Mizoram,ssp585,2060-2080,linear,65.68605841481796,67.60965907709914,1.9236006622811743,11,11
Nagaland,historical,1990-2010,linear,17.63095368974499,16.65446177249742,-0.9764919172475715,16,16
Nagaland,ssp245,2020-2040,linear,29.156916215102527,28.091205216562734,-1.0657109985397923,16,16
Nagaland,ssp245,2040-2060,linear,38.881428709797646,37.7731675835467,-1.1082611262509445,16,16
