ruler_a,ruler_b,state,district,district_key,scenario,period,score_a,score_b,delta,abs_delta,rank_a,rank_b,rank_delta
linear,cdf,Andhra Pradesh,Anantapur,andhra pradesh|anantapur,ssp585,2020-2040,56.83833144867989,50.124817784256564,-6.713513664423324,6.713513664423324,179.0,145.0,-34.0
linear,cdf,Andhra Pradesh,Anantapur,andhra pradesh|anantapur,ssp585,2040-2060,73.48085589398863,74.70951773566571,1.2286618416770807,1.2286618416770807,113.0,102.0,-11.0
linear,cdf,Andhra Pradesh,Anantapur,andhra pradesh|anantapur,ssp585,2060-2080,89.58208406643986,91.5240828474247,1.9419987809848323,1.9419987809848323,62.0,122.0,60.0
linear,cdf,Andhra Pradesh,Annamayya,andhra pradesh|annamayya,historical,1990-2010,42.45196944557269,28.479105928085527,-13.972863517487166,13.972863517487166,431.0,344.0,-87.0
linear,cdf,Andhra Pradesh,Annamayya,andhra pradesh|annamayya,ssp245,2020-2040,52.521209991640326,39.9990889212828,-12.522121070357528,12.522121070357528,418.0,348.0,-70.0
linear,cdf,Andhra Pradesh,Annamayya,andhra pradesh|annamayya,ssp245,2040-2060,61.86913148464713,53.35428814382898,-8.514843340818146,8.514843340818146,462.0,424.0,-38.0
linear,cdf,Andhra Pradesh,Annamayya,andhra pradesh|annamayya,ssp245,2060-2080,70.23520766698792,67.48071550048593,-2.75449216650199,2.75449216650199,401.0,378.0,-23.0
linear,cdf,Andhra Pradesh,Annamayya,andhra pradesh|annamayya,ssp585,2020-2040,52.920689094545295,40.49851190476191,-12.422177189783383,12.422177189783383,439.0,401.0,-38.0
linear,cdf,Andhra Pradesh,Annamayya,andhra pradesh|annamayya,ssp585,2040-2060,68.53108901152066,64.11427964042761,-4.416809371093052,4.416809371093052,402.0,387.0,-15.0
linear,cdf,Andhra Pradesh,Annamayya,andhra pradesh|annamayya,ssp585,2060-2080,84.75936911975056,83.89911321671528,-0.8602559030352808,0.8602559030352808,354.0,382.0,28.0
linear,cdf,Andhra Pradesh,Bapatla,andhra pradesh|bapatla,historical,1990-2010,49.832610097368125,42.96525753158407,-6.867352565784053,6.867352565784053,26.0,39.0,13.0
linear,cdf,Andhra Pradesh,Bapatla,andhra pradesh|bapatla,ssp245,2020-2040,59.32864380420916,53.2405551506317,-6.088088653577458,6.088088653577458,38.0,66.0,28.0
linear,cdf,Andhra Pradesh,Bapatla,andhra pradesh|bapatla,ssp245,2040-2060,68.57365728061966,66.35204081632655,-2.221616464293106,2.221616464293106,50.0,87.0,37.0
linear,cdf,Andhra Pradesh,Bapatla,andhra pradesh|bapatla,ssp245,2060-2080,77.28676018675787,79.477648202138,2.190888015380125,2.190888015380125,31.0,57.0,26.0
linear,cdf,Andhra Pradesh,Bapatla,andhra pradesh|bapatla,ssp585,2020-2040,59.73422139988099,54.27721088435374,-5.457010515527244,5.457010515527244,46.0,68.0,22.0
linear,cdf,Andhra Pradesh,Bapatla,andhra pradesh|bapatla,ssp585,2040-2060,75.37418520711884,76.39015427599612,1.0159690688772827,1.0159690688772827,36.0,64.0,28.0
linear,cdf,Andhra Pradesh,Bapatla,andhra pradesh|bapatla,ssp585,2060-2080,91.01012962992347,91.43327866861031,0.4231490386868444,0.4231490386868444,23.0,126.0,103.0
linear,cdf,Andhra Pradesh,Chittoor,andhra pradesh|chittoor,historical,1990-2010,40.117386197079306,24.33536807580176,-15.782018121277545,15.782018121277545,487.0,457.0,-30.0
linear,cdf,Andhra Pradesh,Chittoor,andhra pradesh|chittoor,ssp245,2020-2040,50.430310149848744,35.46950923226434,-14.9608009175844,14.9608009175844,486.0,465.0,-21.0
linear,cdf,Andhra Pradesh,Chittoor,andhra pradesh|chittoor,ssp245,2040-2060,59.90492789421943,48.58615767735667,-11.318770216862767,11.318770216862767,522.0,507.0,-15.0
linear,cdf,Andhra Pradesh,Chittoor,andhra pradesh|chittoor,ssp245,2060-2080,68.05815462160794,61.983722060252674,-6.074432561355266,6.074432561355266,510.0,501.0,-9.0
linear,cdf,Andhra Pradesh,Chittoor,andhra pradesh|chittoor,ssp585,2020-2040,50.818082643801525,35.84654397473276,-14.971538669068764,14.971538669068764,504.0,496.0,-8.0
linear,cdf,Andhra Pradesh,Chittoor,andhra pradesh|chittoor,ssp585,2040-2060,66.49040216907447,58.84687803692907,-7.6435241321454015,7.6435241321454015,512.0,500.0,-12.0
linear,cdf,Andhra Pradesh,Chittoor,andhra pradesh|chittoor,ssp585,2060-2080,82.92368720831391,78.93844144800778,-3.985245760306128,3.985245760306128,446.0,482.0,36.0
linear,cdf,Andhra Pradesh,East Godavari,andhra pradesh|east godavari,historical,1990-2010,47.97881182164437,38.49110179786201,-9.487710023782363,9.487710023782363,95.0,96.0,1.0
linear,cdf,Andhra Pradesh,East Godavari,andhra pradesh|east godavari,ssp245,2020-2040,57.74251798786655,49.71953960155492,-8.022978386311628,8.022978386311628,95.0,118.0,23.0
linear,cdf,Andhra Pradesh,East Godavari,andhra pradesh|east godavari,ssp245,2040-2060,67.55211120466112,63.45253279883383,-4.0995784058272875,4.0995784058272875,94.0,161.0,67.0
linear,cdf,Andhra Pradesh,East Godavari,andhra pradesh|east godavari,ssp245,2060-2080,76.40058523950441,76.68154761904763,0.2809623795432259,0.2809623795432259,68.0,129.0,61.0
linear,cdf,Andhra Pradesh,East Godavari,andhra pradesh|east godavari,ssp585,2020-2040,58.01354473838556,50.24189139941692,-7.77165333896864,7.77165333896864,106.0,138.0,32.0
linear,cdf,Andhra Pradesh,East Godavari,andhra pradesh|east godavari,ssp585,2040-2060,74.64960295219333,74.01056851311955,-0.6390344390737823,0.6390344390737823,62.0,119.0,57.0
linear,cdf,Andhra Pradesh,East Godavari,andhra pradesh|east godavari,ssp585,2060-2080,91.15759955532025,89.7869594266278,-1.3706401286924432,1.3706401286924432,21.0,185.0,164.0
linear,cdf,Andhra Pradesh,Eluru,andhra pradesh|eluru,historical,1990-2010,46.795823730865074,36.45590379008747,-10.339919940777605,10.339919940777605,168.0,132.0,-36.0
linear,cdf,Andhra Pradesh,Eluru,andhra pradesh|eluru,ssp245,2020-2040,56.63708275321649,47.84681729834791,-8.790265454868582,8.790265454868582,149.0,158.0,9.0
linear,cdf,Andhra Pradesh,Eluru,andhra pradesh|eluru,ssp245,2040-2060,66.20694423781846,62.12736880466474,-4.079575433153721,4.079575433153721,180.0,206.0,26.0
linear,cdf,Andhra Pradesh,Eluru,andhra pradesh|eluru,ssp245,2060-2080,75.06323491699452,75.8665877065112,0.8033527895166799,0.8033527895166799,111.0,160.0,49.0
linear,cdf,Andhra Pradesh,Eluru,andhra pradesh|eluru,ssp585,2020-2040,56.967681559650245,48.6611698250729,-8.306511734577342,8.306511734577342,176.0,173.0,-3.0
linear,cdf,Andhra Pradesh,Eluru,andhra pradesh|eluru,ssp585,2040-2060,73.16024326191666,72.57592322643345,-0.5843200354832163,0.5843200354832163,128.0,162.0,34.0
linear,cdf,Andhra Pradesh,Eluru,andhra pradesh|eluru,ssp585,2060-2080,89.67828662891978,89.64422376093295,-0.03406286798683311,0.03406286798683311,59.0,189.0,130.0
linear,cdf,Andhra Pradesh,Guntur,andhra pradesh|guntur,historical,1990-2010,48.76778791932824,40.810860058309046,-7.956927861019196,7.956927861019196,65.0,59.0,-6.0
linear,cdf,Andhra Pradesh,Guntur,andhra pradesh|guntur,ssp245,2020-2040,58.25942620247852,51.05411807580176,-7.205308126676762,7.205308126676762,67.0,99.0,32.0
linear,cdf,Andhra Pradesh,Guntur,andhra pradesh|guntur,ssp245,2040-2060,67.48996876997882,64.93318756073857,-2.556781209240242,2.556781209240242,97.0,120.0,23.0
linear,cdf,Andhra Pradesh,Guntur,andhra pradesh|guntur,ssp245,2060-2080,76.1676267934552,78.31966715257532,2.1520403591201216,2.1520403591201216,75.0,82.0,7.0
linear,cdf,Andhra Pradesh,Guntur,andhra pradesh|guntur,ssp585,2020-2040,58.72855366419238,52.371386054421784,-6.357167609770599,6.357167609770599,78.0,101.0,23.0
linear,cdf,Andhra Pradesh,Guntur,andhra pradesh|guntur,ssp585,2040-2060,74.19075303511161,74.80244776482023,0.611694729708617,0.611694729708617,84.0,98.0,14.0
linear,cdf,Andhra Pradesh,Guntur,andhra pradesh|guntur,ssp585,2060-2080,90.06397704428271,90.97500607385811,0.9110290295754027,0.9110290295754027,47.0,144.0,97.0
linear,cdf,Andhra Pradesh,Kakinada,andhra pradesh|kakinada,historical,1990-2010,46.74819855399203,36.12093051506317,-10.627268038928861,10.627268038928861,173.0,141.0,-32.0
linear,cdf,Andhra Pradesh,Kakinada,andhra pradesh|kakinada,ssp245,2020-2040,56.80004785521915,47.873086734693885,-8.926961120525263,8.926961120525263,139.0,157.0,18.0
linear,cdf,Andhra Pradesh,Kakinada,andhra pradesh|kakinada,ssp245,2040-2060,66.92400988133485,61.455903790087476,-5.468106091247378,5.468106091247378,120.0,217.0,97.0
linear,cdf,Andhra Pradesh,Kakinada,andhra pradesh|kakinada,ssp245,2060-2080,75.73145160307992,74.18610301263364,-1.545348590446281,1.545348590446281,85.0,203.0,118.0
linear,cdf,Andhra Pradesh,Kakinada,andhra pradesh|kakinada,ssp585,2020-2040,57.04768508199586,48.26454689018466,-8.783138191811197,8.783138191811197,173.0,184.0,11.0
linear,cdf,Andhra Pradesh,Kakinada,andhra pradesh|kakinada,ssp585,2040-2060,74.21441800833638,72.19008138969875,-2.0243366186376335,2.0243366186376335,83.0,168.0,85.0
linear,cdf,Andhra Pradesh,Kakinada,andhra pradesh|kakinada,ssp585,2060-2080,90.72481274167991,87.33448736637513,-3.3903253753047835,3.3903253753047835,29.0,286.0,257.0
linear,cdf,Andhra Pradesh,Konaseema,andhra pradesh|konaseema,historical,1990-2010,47.27913074596228,37.25036443148689,-10.02876631447539,10.02876631447539,135.0,116.0,-19.0
linear,cdf,Andhra Pradesh,Konaseema,andhra pradesh|konaseema,ssp245,2020-2040,57.42830648120646,49.30590986394559,-8.122396617260875,8.122396617260875,106.0,122.0,16.0
linear,cdf,Andhra Pradesh,Konaseema,andhra pradesh|konaseema,ssp245,2040-2060,68.2442289509603,62.94900996112732,-5.295218989832989,5.295218989832989,62.0,180.0,118.0
linear,cdf,Andhra Pradesh,Konaseema,andhra pradesh|konaseema,ssp245,2060-2080,77.48408263489573,75.72916666666669,-1.7549159682290423,1.7549159682290423,24.0,165.0,141.0
linear,cdf,Andhra Pradesh,Konaseema,andhra pradesh|konaseema,ssp585,2020-2040,57.87512490882044,50.12542517006804,-7.749699738752398,7.749699738752398,116.0,144.0,28.0
linear,cdf,Andhra Pradesh,Konaseema,andhra pradesh|konaseema,ssp585,2040-2060,75.8192131566921,73.97245505344996,-1.8467581032421378,1.8467581032421378,26.0,120.0,94.0
linear,cdf,Andhra Pradesh,Konaseema,andhra pradesh|konaseema,ssp585,2060-2080,92.227406935546,87.53416545189505,-4.693241483650951,4.693241483650951,5.0,276.0,271.0
linear,cdf,Andhra Pradesh,Krishna,andhra pradesh|krishna,historical,1990-2010,47.83524823248392,38.504919825072896,-9.330328407411024,9.330328407411024,103.0,95.0,-8.0
linear,cdf,Andhra Pradesh,Krishna,andhra pradesh|krishna,ssp245,2020-2040,57.56172486485016,49.436194120505355,-8.125530744344807,8.125530744344807,100.0,120.0,20.0
linear,cdf,Andhra Pradesh,Krishna,andhra pradesh|krishna,ssp245,2040-2060,67.34125370221632,62.92046282798835,-4.4207908742279685,4.4207908742279685,101.0,181.0,80.0
linear,cdf,Andhra Pradesh,Krishna,andhra pradesh|krishna,ssp245,2060-2080,76.17496589241411,76.66621112730807,0.49124523489396665,0.49124523489396665,74.0,131.0,57.0
linear,cdf,Andhra Pradesh,Krishna,andhra pradesh|krishna,ssp585,2020-2040,58.0095927284389,50.54345845481051,-7.466134273628391,7.466134273628391,107.0,133.0,26.0
linear,cdf,Andhra Pradesh,Krishna,andhra pradesh|krishna,ssp585,2040-2060,74.40098592880524,73.90275753158409,-0.49822839722115475,0.49822839722115475,71.0,122.0,51.0
linear,cdf,Andhra Pradesh,Krishna,andhra pradesh|krishna,ssp585,2060-2080,90.43360893400488,89.06599246841594,-1.367616465588938,1.367616465588938,35.0,221.0,186.0
linear,cdf,Andhra Pradesh,Kurnool,andhra pradesh|kurnool,historical,1990-2010,47.0208668964748,39.4987548590865,-7.522112037388297,7.522112037388297,150.0,74.0,-76.0
linear,cdf,Andhra Pradesh,Kurnool,andhra pradesh|kurnool,ssp245,2020-2040,57.262895821408904,51.96595602526727,-5.296939796141636,5.296939796141636,114.0,80.0,-34.0
linear,cdf,Andhra Pradesh,Kurnool,andhra pradesh|kurnool,ssp245,2040-2060,66.58805140467855,64.6073250728863,-1.9807263317922548,1.9807263317922548,152.0,134.0,-18.0
linear,cdf,Andhra Pradesh,Kurnool,andhra pradesh|kurnool,ssp245,2060-2080,75.11724312413199,78.44979956268222,3.3325564385502275,3.3325564385502275,109.0,77.0,-32.0
linear,cdf,Andhra Pradesh,Kurnool,andhra pradesh|kurnool,ssp585,2020-2040,57.69463246281798,52.58503401360546,-5.10959844921252,5.10959844921252,130.0,94.0,-36.0
