ruler,state,district,block,block_key,scenario,period,composite,weight_coverage,composite_gated,clamped_metric_count,composite_baseline_referenced,coverage_baseline_referenced,composite_absolute_threshold,coverage_absolute_threshold,score__tas_annual_mean,score__tasmax_summer_mean,score__tas_summer_mean,score__txx_annual_max,score__tn90p_warm_nights_pct,score__hwa_heatwave_amplitude,score__txge30_hot_days,score__txge35_extreme_heat_days,score__tasmin_tropical_nights_gt25,score__hwfi_tmean_90p,score__hwfi_events_tmean_90p,score__wsdi_warm_spell_days,score__tnx_annual_max,score__tx90p_hot_days_pct
cdf,Telangana,Suryapet,Chinthalapalem Mallareddygudem,telangana|suryapet|chinthalapalem mallareddygudem,ssp245,2020-2040,56.79409015279009,1.0,56.79409015279009,0,21.17651082842096,1.0,77.41479397216168,1.0000000000000004,91.43935305840208,71.13816877845059,86.59272697840312,56.33446602744522,22.753267005139133,74.95306580722934,89.921963496343,73.54221926695016,90.15584493180887,21.243959048005987,22.863069770646813,18.984022554642436,68.54085143183478,19.424795824264503
cdf,Telangana,Suryapet,Chivvemla,telangana|suryapet|chivvemla,ssp245,2020-2040,55.146475992250636,1.0,55.146475992250636,0,22.08102250072947,1.0,74.28963327681551,1.0000000000000004,86.15133327739069,76.08206987252508,86.72865654799008,58.4242498989527,23.367592262567353,75.19898417949639,86.31927707387833,67.93998233749377,70.17929659612291,21.599888340223544,22.8289362441925,21.732173857615788,65.32185782628494,20.521531910719037
cdf,Telangana,Suryapet,Garide Pally,telangana|suryapet|garide pally,ssp245,2020-2040,58.55598498246345,1.0,58.55598498246345,0,21.51566926674017,1.0,80.00037829156638,1.0000000000000004,91.85107445823837,77.24323156187087,89.25889458619659,60.257392366204286,22.71596004415254,79.48886890796423,91.03759748239392,75.82918055088663,89.11660500920557,21.109943677191033,23.093829101192775,20.140576806800247,70.98418352837795,20.071409729398212
cdf,Telangana,Suryapet,Huzurnagar,telangana|suryapet|huzurnagar,ssp245,2020-2040,57.863438647774316,1.0,57.863438647774316,0,21.061418335845584,1.0,79.16987145994358,1.0000000000000004,91.51291613568105,74.91939133281213,88.24271538792335,59.25605857721686,22.667358730058446,78.64312655743454,90.49281593115884,74.409870925388,89.39213481129332,20.888890467690075,22.23458398103516,19.35769199395302,70.76995292689304,19.63200168580873
cdf,Telangana,Suryapet,Jaji Reddi Gudem (Arvapally),telangana|suryapet|jaji reddi gudem arvapally,ssp245,2020-2040,51.70479681852809,1.0,51.70479681852809,0,22.254500691551204,1.0,68.75496826046205,1.0000000000000004,80.05332447709978,74.68498133454855,84.25167636533986,56.9411688888565,24.009033837576744,71.798999091129,80.19987606488974,62.185025580835685,49.14601239686627,21.310646320177405,22.838561512154154,22.391713950779295,61.726092279827824,20.32888874440838
cdf,Telangana,Suryapet,Kodad,telangana|suryapet|kodad,ssp245,2020-2040,57.276672845530776,1.0,57.276672845530776,0,21.120539389196097,1.0,78.2091711623561,1.0000000000000004,91.07847693399158,73.64846481715048,87.41199915523671,58.218176956263996,22.93137864280988,77.26600376869456,89.74859062056781,73.08186347830987,89.11106895913579,21.02609364442073,22.282435460382167,19.231737553576615,69.55143617179239,19.54491054058629
cdf,Telangana,Suryapet,Maddirala,telangana|suryapet|maddirala,ssp245,2020-2040,51.84846405445001,1.0,51.84846405445001,0,21.878808595660214,1.0,69.199317214802,1.0000000000000004,80.53552456876294,73.98619430341736,84.04248299158567,56.889979665246464,23.905940592910834,72.15791468947262,80.48554007835578,62.249994027420776,52.42308406000555,21.041932827581352,22.496736528390844,21.554469496911867,62.36082556767189,19.915549012612043
cdf,Telangana,Suryapet,Mattam Pally,telangana|suryapet|mattam pally,ssp245,2020-2040,57.65139151833065,1.0,57.65139151833065,0,21.14091640171841,1.0,78.78903500689562,1.0000000000000004,91.73984423311887,74.09815613703414,87.94386827252643,58.571208904057336,22.60184445295895,76.99023620213295,90.59989663331197,74.82661212391098,89.90336622670632,21.03671378020591,22.80430322476891,19.196192443369206,69.93228255616178,19.50539806928667
cdf,Telangana,Suryapet,Mella Chervu,telangana|suryapet|mella chervu,ssp245,2020-2040,57.72459086638639,1.0,57.72459086638639,0,21.07027455470704,1.0,78.94551083630598,1.0000000000000004,91.48543565515652,74.58653053010933,88.01960976889771,59.05411994985875,22.70893217132831,78.12590613426934,90.33593351355591,74.20247394098506,89.43842255561468,20.928621929395575,22.24656646861011,19.301969724644067,70.43891437542757,19.62628816432786
cdf,Telangana,Suryapet,Mothey,telangana|suryapet|mothey,ssp245,2020-2040,56.58886094963454,1.0,56.58886094963454,0,21.426481445725678,1.0,76.9460280308449,1.0000000000000004,88.54100020836106,75.69064989188576,87.33008921278203,59.3870800606367,23.469166555693953,77.78395481538764,87.95316291429546,70.3172325217074,80.95357540092188,21.02167246403701,22.42085145683751,20.090740718930256,68.73776254804255,19.545609626959678
cdf,Telangana,Suryapet,Munagala,telangana|suryapet|munagala,ssp245,2020-2040,56.865218509075156,1.0,56.865218509075156,0,21.41764631127178,1.0,77.38749714990867,1.0000000000000004,89.08863351294583,75.60414705872667,87.5322382083088,59.28410714778679,23.36164450942888,77.9594604835445,88.38318408994664,71.04283471736753,82.97664331408943,21.030218588428887,22.43828888102516,20.077116502396695,68.99908248358336,19.615811669676198
cdf,Telangana,Suryapet,Nadigudem,telangana|suryapet|nadigudem,ssp245,2020-2040,56.86774086448668,1.0,56.86774086448668,0,21.410092708126516,1.0,77.39585295501095,1.0000000000000004,89.03129485551322,75.61700083871366,87.51179752051357,59.34031534482153,23.41182829736267,78.04611880662625,88.34169927891145,70.92039522622605,82.95261164152416,21.025902028268177,22.436446920712353,20.062797547313085,69.15276102189205,19.532784408076314
cdf,Telangana,Suryapet,Nagaram,telangana|suryapet|nagaram,ssp245,2020-2040,55.000452984685566,1.0,55.000452984685566,0,22.983798521497423,1.0,73.53641083179447,1.0000000000000004,84.28956478507632,79.44257394688385,87.92872844454917,60.32826917663357,24.268590920575598,75.08608175539183,84.97454187454264,67.62425578913638,59.853841590744025,21.971783760486595,23.6579574271957,23.81966512461373,65.21445780608327,20.922029256760034
cdf,Telangana,Suryapet,Nereducherla,telangana|suryapet|nereducherla,ssp245,2020-2040,59.402080959027764,1.0,59.402080959027764,0,22.096178425428114,1.0,81.00023505742756,1.0000000000000004,92.32373193909334,79.6198797338305,90.35117078338162,61.950001994275276,22.75889170027461,80.1817664961432,91.74284029154686,77.62518175578312,88.85974656465811,21.386096446509523,24.282500663749435,21.19291168610034,71.31497136424511,20.510283279369695
cdf,Telangana,Suryapet,Nuthankal,telangana|suryapet|nuthankal,ssp245,2020-2040,52.076157289183975,1.0,52.076157289183975,0,21.844278249522873,1.0,69.57882410161933,1.0000000000000004,80.88303005859343,74.15857222361709,84.21238884125583,57.11253789303899,23.903144720653348,72.48846274339917,80.96703343904983,62.580579932063564,53.46629502619488,21.03316933275709,22.47399412457527,21.48580175742134,62.72967864906146,19.833238824638844
cdf,Telangana,Suryapet,Palakeedu,telangana|suryapet|palakeedu,ssp245,2020-2040,59.10862113849882,1.0,59.10862113849882,0,22.029963444031488,1.0,80.57521243529568,1.0000000000000004,92.5126573022595,78.3200189607629,89.82939612713257,60.699661104647646,22.72649993469447,79.01913486219064,91.76792532403064,77.88626341805997,89.62442254491525,21.399304583217965,24.66680372512664,20.716553963337475,70.87533949960032,20.21574821357994
cdf,Telangana,Suryapet,Penpahad,telangana|suryapet|penpahad,ssp245,2020-2040,56.28131447338754,1.0,56.28131447338754,0,22.01145577342528,1.0,76.121758983892,1.0000000000000004,87.96660092985157,76.85984169878601,87.6809130859268,59.127121303460314,23.286946122396717,76.14595719714882,87.76655934222062,70.40579579135975,76.64119691976946,21.47761519256761,23.04796922077452,21.464785674793365,66.74445445329819,20.398255961039872
cdf,Telangana,Suryapet,Suryapet,telangana|suryapet|suryapet,ssp245,2020-2040,54.59872309019825,1.0,54.59872309019825,0,22.15005820630368,1.0,73.38479223350564,1.0000000000000004,85.21139410865123,75.87541258353221,86.36311665365591,58.13310649594277,23.443963643343704,74.44113309817364,85.38662242524126,66.957637796648,67.05920143169769,21.59684076276619,22.83518321810224,21.971084279349977,64.58434172623163,20.563254322663635
cdf,Telangana,Suryapet,Thirumalagiri,telangana|suryapet|thirumalagiri,ssp245,2020-2040,54.727509929223295,1.0,54.727509929223295,0,22.97651818220902,1.0,73.10966304591575,1.0000000000000004,83.91005952456176,79.40816457384716,87.69396846965225,60.399621294163666,24.349171801375185,74.49173591051004,84.5140119884427,67.0265798163312,58.36783839613774,22.009289382105834,23.587946752777494,23.746352173505592,65.00697966138472,20.891142425181293
cdf,Telangana,Suryapet,Thungathurthi,telangana|suryapet|thungathurthi,ssp245,2020-2040,50.74371329840871,1.0,50.74371329840871,0,22.096416226450813,1.0,67.32899055059485,1.0000000000000004,78.83956762352139,73.53028999736497,83.13340486935188,56.10036589104435,23.929357781552252,70.18227630856653,78.51458466700633,60.54995681084488,46.454891633233075,21.228203469276092,22.627586203905718,22.076285458490553,60.749411879815014,20.20454317771905
cdf,Telangana,Vikarabad,Bantwaram,telangana|vikarabad|bantwaram,ssp245,2020-2040,47.53151004112963,1.0,47.53151004112963,0,29.408579333083406,1.0,58.02373308263008,1.0000000000000004,64.41682270207177,77.4675718218206,83.07255880154796,51.08352089351783,28.29164922700606,61.657958035234515,61.480130600332615,53.53542202821356,26.627657039631416,27.480785480673845,28.953391752886365,34.837880883964786,43.698452630427326,28.056294526481135
cdf,Telangana,Vikarabad,Basheerabad,telangana|vikarabad|basheerabad,ssp245,2020-2040,51.62250034022154,1.0,51.62250034022154,0,30.357815972937995,1.0,63.93363339496462,1.0000000000000004,72.08482308660265,82.5490630642071,87.32823836027262,54.221626208427836,29.94762937506304,69.94402664713898,77.22735899005738,59.67764999402006,28.595715645570063,29.01968523602579,29.418433953161408,35.239220475528136,44.69960204197556,28.55134656896646
cdf,Telangana,Vikarabad,Bomraspeta,telangana|vikarabad|bomraspeta,ssp245,2020-2040,48.22758947082235,1.0,48.22758947082235,0,29.39018342115518,1.0,59.133456131155974,1.0000000000000004,65.8262229087345,77.97560973831288,83.32286878562039,50.87878808331519,28.92782488181784,64.56959532557089,66.69652275665396,54.777645495403846,26.715929963691977,27.915306554518402,28.620006995599702,34.05710125080943,42.142554336456655,27.826898719388865
cdf,Telangana,Vikarabad,Dharur,telangana|vikarabad|dharur,ssp245,2020-2040,44.53277854706644,1.0,44.53277854706644,0,28.901251374401834,1.0,53.582610068082786,1.0000000000000004,58.167437619015736,73.19152732955108,78.55157498086766,48.382753335491664,27.96443075038915,58.31341768040986,50.44811428762029,49.934029051636834,24.662958184261356,26.65228584794161,29.14866182454526,33.79905749949647,40.708940423956584,27.42622049017944
